date,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DD UN Equity,DIS UN Equity,GE UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WMT UN Equity,XOM UN Equity
2014-02-03,71.6471,82.86,123.08,92.42,21.55,111.14,56.9882,69.99,24.35,159.82,75.09,172.9,23.95,86.78,54.31,37.2,93.02,123.9,52.08,36.48,35.44,30.6,75.7,80.26,70.74,110.16,53.3675,46.41,72.66,90.05
2014-02-04,72.6843,84.0,122.04,92.5,21.8,110.83,58.5271,71.05,24.57,161.76,74.97,172.84,23.82,86.62,54.95,37.48,93.09,126.72,53.51,36.35,35.255,31.44,76.09,80.35,70.51,109.1,53.635,46.82,72.73,90.02
2014-02-05,73.2271,83.72,121.4,91.96,21.98,109.52,58.8026,71.76,24.52,160.42,75.26,174.24,23.52,87.28,55.21,37.61,93.58,127.36,53.53,35.82,35.3,30.65,76.45,80.44,70.82,107.91,53.9025,46.69,72.87,89.58
2014-02-06,73.2157,85.69,122.67,93.83,22.49,111.27,59.8095,75.56,24.95,161.75,76.16,174.67,23.99,88.75,56.48,38.03,94.94,128.9,53.77,36.18,35.755,30.84,76.9,80.69,70.87,109.45,54.7525,46.68,72.82,89.8
2014-02-07,74.2786,87.0,127.02,94.87,22.68,112.05,60.275,75.67,25.19,161.93,76.45,177.25,24.21,90.04,56.62,37.95,95.92,130.33,54.77,36.58,36.345,31.22,77.31,80.88,71.36,110.73,55.445,46.81,73.75,90.58
2014-02-10,75.57,88.34,127.16,94.5,22.83,111.69,60.275,77.06,25.05,161.0,76.41,177.14,24.29,91.07,56.74,38.57,94.86,129.7,54.89,36.8,36.335,31.47,78.03,82.35,69.74,111.6,55.1375,46.91,73.76,89.52
2014-02-11,76.5657,88.58,130.16,94.96,22.71,113.58,61.073,77.79,25.43,164.39,76.7,179.7,24.47,92.97,57.43,38.64,95.34,130.98,55.7,37.2,36.99,31.88,78.84,83.21,70.62,112.96,55.5825,47.21,74.8,90.84
2014-02-12,76.56,89.02,128.13,96.17,22.85,112.03,60.332,77.91,25.39,163.5,77.28,180.24,24.55,92.42,57.52,38.51,94.89,130.44,55.0,37.47,37.055,31.61,77.49,82.26,70.24,112.78,56.0425,47.37,74.96,91.08
2014-02-13,77.7757,88.9,129.5,96.11,22.27,112.51,60.7785,77.9,25.44,164.06,77.59,181.84,24.7,92.56,58.03,38.65,95.46,130.14,55.1,37.61,37.435,31.7,77.8,82.88,71.21,113.3,56.0125,47.31,75.36,91.43
2014-02-14,77.7129,89.0,130.16,96.55,22.56,113.48,61.2725,79.23,25.74,163.72,77.93,183.69,24.755,92.76,58.15,38.93,95.78,132.12,55.44,37.62,37.535,31.94,79.4,84.02,73.52,113.87,56.5,46.51,75.79,94.11
2014-02-18,77.9986,89.02,130.63,96.56,22.41,112.71,61.472,79.58,25.65,164.65,77.57,183.19,24.76,92.17,58.49,37.47,96.02,131.8,55.69,37.42,37.605,31.88,77.97,84.37,73.83,113.74,56.515,45.98,75.33,94.07
2014-02-19,76.7671,88.84,128.39,96.21,22.28,113.6,61.0445,78.87,25.4,163.26,76.45,182.95,24.5,91.64,57.26,37.1,95.55,130.56,55.04,37.51,37.41,31.48,78.14,84.01,73.55,114.04,55.97,46.53,74.85,93.95
2014-02-20,75.8786,89.01,129.56,96.92,22.3,114.6,62.0799,79.19,25.12,164.5,77.48,184.26,24.74,92.38,57.58,37.3,95.75,131.56,55.81,37.75,37.79,31.55,77.92,83.81,73.48,115.05,55.865,48.12,73.52,95.37
2014-02-21,75.0357,88.75,128.28,97.5,22.13,112.68,61.624,80.13,24.94,164.5,77.74,182.79,24.42,91.52,57.61,37.18,96.45,131.57,56.03,37.98,38.24,31.46,77.97,83.79,73.81,115.38,55.84,47.27,73.12,95.03
2014-02-24,75.3643,89.92,129.59,97.32,22.12,114.15,61.3485,80.73,25.29,166.54,77.87,183.45,24.63,91.11,58.03,37.5,96.5,132.2,56.18,37.69,38.92,31.99,77.86,83.44,76.01,116.49,56.5475,46.23,73.35,96.44
2014-02-25,74.58,89.91,126.78,96.41,21.84,114.97,61.6715,80.21,25.27,163.48,80.98,183.23,24.62,91.11,57.03,37.77,96.62,132.93,55.91,37.54,39.055,31.89,78.12,83.34,75.32,115.89,56.7775,46.29,73.35,96.31
2014-02-26,73.9071,89.73,126.61,97.2,21.93,115.51,62.2319,80.08,25.3,162.8,81.7,184.06,24.8,91.11,56.75,37.87,95.89,132.86,56.27,37.47,39.21,31.99,77.86,83.43,76.06,116.11,56.5275,46.35,74.78,95.79
2014-02-27,75.3814,90.29,128.56,96.7,21.92,115.69,62.6974,80.48,25.5,165.38,81.97,185.27,24.76,91.36,56.69,38.07,95.08,134.34,56.66,37.86,39.01,32.23,78.19,83.85,76.02,116.61,56.57,47.5,74.56,95.84
2014-02-28,75.1771,91.28,128.92,96.97,21.8,115.33,63.2864,80.81,25.47,166.45,82.03,185.17,24.76,92.12,56.82,38.2,95.15,134.73,56.99,38.31,39.15,32.11,78.66,83.84,77.27,117.02,56.485,47.58,74.7,96.27
2014-03-03,75.3943,89.97,128.22,96.31,21.57,114.84,62.5929,79.46,25.12,164.74,82.0,184.26,24.5,91.56,56.21,38.12,94.32,132.21,56.42,37.78,38.695,31.98,77.48,83.18,77.1,116.76,55.36,47.31,74.12,95.5
2014-03-04,75.8914,92.61,130.23,97.02,21.82,115.32,63.8944,81.71,25.65,168.73,82.87,186.44,24.61,93.34,57.26,38.31,94.98,132.68,57.06,38.41,39.31,32.69,78.45,84.11,78.13,117.59,56.375,47.9,75.13,96.52
2014-03-05,76.0514,92.14,128.79,96.37,21.87,114.43,63.8754,82.68,25.93,171.9,82.91,187.14,24.5,92.59,58.16,38.35,95.02,133.85,56.88,38.11,38.71,32.75,77.82,84.37,77.99,117.41,55.7025,47.38,74.8,93.8
2014-03-06,75.8214,93.52,128.86,97.6,21.82,114.85,64.1224,83.34,26.22,172.6,82.41,187.64,24.63,92.89,58.9,38.47,95.58,134.08,57.26,38.14,39.11,32.46,78.06,84.4,77.64,117.76,55.965,47.46,74.88,93.76
2014-03-07,75.7771,93.86,128.54,97.05,21.73,115.08,63.8754,82.21,26.13,174.26,82.55,187.68,24.64,93.32,59.4,38.55,95.5,134.11,57.47,37.9,39.73,32.43,78.38,83.93,77.4,118.31,56.39,47.15,74.58,94.99
2014-03-10,75.8457,93.7,126.89,96.75,21.69,115.84,63.9799,81.97,26.04,173.51,82.18,186.39,24.84,93.45,59.2,38.65,95.2,133.56,57.32,37.82,39.49,32.39,78.53,83.78,77.88,117.77,56.375,47.03,74.43,95.5
2014-03-11,76.5843,93.2,125.67,96.84,21.61,114.51,62.7069,81.05,25.9,169.89,81.29,186.76,24.73,93.49,58.19,38.8,98.78,132.51,56.69,38.02,39.4,32.42,78.95,83.58,77.78,115.64,56.795,46.7,74.92,94.01
2014-03-12,76.6586,92.9,124.43,96.82,21.82,115.65,63.1059,81.38,25.76,169.72,80.56,186.22,24.76,93.6,57.92,38.47,98.71,132.57,56.81,38.27,39.485,31.98,79.24,83.43,77.6,115.81,56.525,46.36,75.53,94.21
2014-03-13,75.8071,90.69,121.89,95.61,21.52,114.45,62.4219,79.93,25.34,166.7,78.8,183.9,24.56,93.0,57.42,37.97,97.37,130.81,55.79,37.89,39.265,31.12,79.19,82.59,77.01,112.89,55.195,46.03,74.93,93.64
2014-03-14,74.9529,90.17,123.11,95.39,21.35,114.1,62.4789,80.07,25.11,165.35,79.38,182.21,24.5,92.81,56.8,38.17,97.58,129.83,55.7,37.7,39.16,31.23,78.98,82.66,75.7,112.6,55.1925,46.08,74.28,93.47
2014-03-17,75.2486,91.26,125.42,95.67,21.51,115.07,63.0584,81.39,25.43,166.84,79.58,185.81,24.7,93.93,57.58,38.27,97.6,132.27,56.26,38.05,39.49,31.42,79.84,83.54,76.76,114.41,55.945,46.31,74.68,94.32
2014-03-18,75.9143,91.59,124.04,96.41,21.63,116.24,63.4574,81.99,25.65,168.09,79.82,186.81,24.825,93.94,58.06,38.4,97.31,132.74,56.36,39.56,39.82,31.93,79.77,83.95,78.0,114.68,56.6025,46.7,74.77,94.71
2014-03-19,75.8943,90.73,122.24,96.04,21.63,115.2,62.7639,80.52,25.28,168.18,79.75,184.71,25.02,93.59,58.3,38.14,96.1,131.23,55.99,39.27,39.575,31.71,78.78,83.2,79.96,114.01,55.955,46.36,74.38,93.73
2014-03-20,75.5286,91.69,123.73,96.21,21.83,115.51,63.2484,80.81,25.27,169.22,80.09,187.9,25.425,94.12,60.11,38.45,96.6,132.43,55.59,40.33,39.635,31.91,78.32,83.23,81.53,113.77,55.455,47.21,75.38,94.58
2014-03-21,76.1243,91.52,122.58,97.39,21.64,115.63,63.6284,80.35,25.4,166.95,80.42,186.67,25.17,95.93,60.17,38.44,95.47,133.12,54.66,40.16,37.605,32.18,77.88,83.78,81.34,114.57,55.8425,46.91,76.1,94.31
2014-03-24,77.0143,91.01,123.42,96.85,21.57,115.85,63.1629,79.49,25.41,165.72,79.66,188.25,25.12,95.2,61.07,38.4,96.18,132.42,53.78,40.49,37.43,31.49,79.3,83.86,81.28,113.75,55.1875,47.01,76.76,94.64
2014-03-25,77.8557,90.84,124.02,98.59,22.34,117.09,63.8659,79.55,25.7,163.25,79.47,195.04,25.46,97.38,60.93,38.62,95.91,134.06,55.19,40.34,36.825,31.82,79.81,84.03,81.1,115.2,54.6,47.22,76.87,94.91
2014-03-26,77.1114,89.66,123.53,97.8,22.32,117.71,63.1819,78.62,25.62,161.73,78.87,192.62,25.37,97.05,59.9,38.61,95.84,133.09,56.02,39.79,36.61,32.18,79.5,83.43,81.54,114.58,53.92,47.01,76.23,94.7
2014-03-27,76.78,89.99,123.21,98.45,22.02,117.67,63.2389,78.48,25.81,162.29,78.68,189.83,25.31,97.28,59.92,38.82,96.16,132.84,55.73,39.36,36.66,32.1,79.65,83.49,81.02,113.8,53.9425,47.69,76.14,96.24
2014-03-28,76.6943,90.46,124.46,99.39,22.33,118.5,63.2864,78.99,25.88,162.3,78.72,190.45,25.62,97.44,60.04,38.95,97.24,134.2,55.98,40.3,36.77,31.88,79.76,83.99,81.62,114.81,53.0225,47.42,76.01,97.7
